model,seed,train_source,eval_dataset,n,auc,ci_lo,ci_hi,in_domain,excludes_chance
meso4,42,ff_deepfakes,ff_deepfakes,5600,0.9849096938775384,0.982434556760205,0.9870858705357121,TRUE,TRUE
meso4,42,ff_face2face,ff_face2face,5600,0.9675996811224545,0.9633361256377572,0.9720287866709151,TRUE,TRUE
meso_inception4,42,ff_deepfakes,ff_deepfakes,5600,0.9815372448979539,0.9789386830357111,0.984031428571424,TRUE,TRUE
meso_inception4,42,ff_face2face,ff_face2face,5600,0.9703102040816368,0.9655703380102036,0.9747745822704043,TRUE,TRUE
meso4,42,ff_deepfakes,ff_face2face,5600,0.6207963647959177,0.6063634534438803,0.6348064174107126,FALSE,TRUE
meso4,42,ff_deepfakes,openforensics,10905,0.4049238137423474,0.39445493429873696,0.41508923170110895,FALSE,TRUE
meso4,42,ff_deepfakes,faces140k,20000,0.40322898500000026,0.3954348951249971,0.4110668656250006,FALSE,TRUE
meso4,1,ff_deepfakes,ff_deepfakes,5600,0.9835691326530479,0.9811204528061116,0.9859323947704042,TRUE,TRUE
meso4,1,ff_face2face,ff_face2face,5600,0.9754492346938728,0.971519996811225,0.9790637308673474,TRUE,TRUE
meso_inception4,1,ff_deepfakes,ff_deepfakes,5600,0.9795966836734636,0.9766403093112193,0.9823399617346855,TRUE,TRUE
meso_inception4,1,ff_face2face,ff_face2face,5600,0.9737979591836848,0.9694930293367298,0.9779936926020353,TRUE,TRUE
meso4,1,ff_deepfakes,ff_face2face,5600,0.6316926020408163,0.6170266454081617,0.6460649266581652,FALSE,TRUE
meso4,1,ff_deepfakes,openforensics,10905,0.4245983846446666,0.41436084029451337,0.43502277686140123,FALSE,TRUE
meso4,1,ff_deepfakes,faces140k,20000,0.4175805299999996,0.40978815937499963,0.4259492026249974,FALSE,TRUE
meso4,2,ff_deepfakes,ff_deepfakes,5600,0.98028826530611,0.9774058290816322,0.9829895790816284,TRUE,TRUE
meso4,2,ff_face2face,ff_face2face,5600,0.9715245535714399,0.9676113424744861,0.9754949792729595,TRUE,TRUE
meso_inception4,2,ff_deepfakes,ff_deepfakes,5600,0.9868697066326474,0.9847125797193843,0.9889478427933647,TRUE,TRUE
meso_inception4,2,ff_face2face,ff_face2face,5600,0.9726790816326591,0.9685771875000024,0.976660551658165,TRUE,TRUE
meso4,2,ff_deepfakes,ff_face2face,5600,0.6102974489795938,0.5957476020408168,0.6251378029336725,FALSE,TRUE
meso4,2,ff_deepfakes,openforensics,10905,0.3952725385691074,0.3850362354648097,0.40616533038197133,FALSE,TRUE
meso4,2,ff_deepfakes,faces140k,20000,0.40348457499999874,0.3956607011249998,0.4112019033750008,FALSE,TRUE
